dependencia,Cantidad Registros,Media,Desviaci�n Est�ndar,M�nimo,25%,50%,75%,M�ximo,,,,,,
AUDITORIA INTERNA DE LA U.A.N.L.,2708,12993.49194,6173.853285,2694.8,9408.95,11661.4,14398.27,68323.61,,,,,,
C. INNOVACION; INVEST. Y DESLLO. DE INGENIERIA Y TECNOLOGIA,360,12454.44108,5296.20671,5045.3,9000.7325,11515.42,14706.0475,35590.67,,,,,,
C.DE ESTUDIOS HUMANISTICOS,244,15591.80676,5655.643685,2895.11,11826.16,14995.69,16686.27,43505.89,,,,,,
C.DE INV.Y DES.DE ED.BILINGUE,2479,14503.07067,8174.759578,2903.41,9279.97,13294.46,17465.255,77130.15,,,,,,
CAPILLA ALFONSINA BIBLIOTECA UNIVERSITARIA,1928,11789.00943,6349.997558,1535.48,8349.56,10856.49,13747.8775,78959.29,,,,,,
CENTRO ACUATICO OLIMPICO UNIVERSITARIO,1649,11764.70436,4796.586405,1100.22,8650.88,11325.6,13178.33,46698.47,,,,,,
CENTRO DE ACONDICIONAMIENTO FISICO MAGISTERIAL,1060,10931.51787,3998.431849,3430.14,7984.08,10471.07,13473.57,27592.07,,,,,,
CENTRO DE DESARROLLO DE AGRONEGOCIOS,187,15870.84807,7845.192212,7207.59,10413.3,12704.21,17996.235,45107.79,,,,,,
CENTRO DE DESARROLLO EMPRESARIAL,182,17818.52824,13940.69904,4295,11369.4975,12818.64,15862.8975,70097.21,,,,,,
CENTRO DE DESARROLLO INTEGRAL DEL ESTUDIANTE,16,14192.69563,4373.274966,5193.72,12714.3325,15036.62,16428.0875,21989.8,,,,,,
CENTRO DE ESTUDIOS Y CERTIFICACIÓN DE LENGUAS EXTRANJERAS,651,15600.72613,7776.326845,7325.19,11596.525,14000.51,17090.255,67235.47,,,,,,
CENTRO DE EVALUACIONES,797,11336.36271,7798.809054,1299.26,7807.16,9466.1,12346.93,74571.93,,,,,,
CENTRO DE FOMENTO GANADERO VALLECILLO,802,11662.01762,7621.724706,1934.2,7054.46,9646.92,13629.28,46985,,,,,,
CENTRO DE INCUBACION DE EMPRESAS Y TRANSF. DE TECNOLOGIA,739,18207.30456,14495.37061,1978.74,11492.14,14106.62,17884.06,97124.87,,,,,,
CENTRO DE INVESTIGACION EN PRODUCCION AGROPECUARIA,2335,10079.7126,4625.92095,2483.47,7299.62,9261.54,11325.6,48030.17,,,,,,
CENTRO DE INVESTIGACION Y DESARROLLO EN CIENCIAS DE LA SALUD,1434,11148.5268,5957.596914,1382.31,8213.76,10709.47,12300.0075,72298.97,,,,,,
