dependencia,Cantidad,Promedio,Desviación Estándar,Mínimo,Primer Cuartil,Mediana,Tercer Cuartil,Máximo
DIRECCION DE UNIDADES ACADEMICAS,2.0,48706.9,7710.546900499342,43254.72,45980.81,48706.9,51432.990000000005,54159.08
DIRECCIÓN DE INVESTIGACIÓN EDUCATIVA,32.0,30192.21499999999,24540.701894933514,11424.85,13195.33,14917.17,62321.932499999995,82985.33
DIRECCION RESPONSABILIDAD SOCIAL UNIVERSITARIA (SS),13.0,29785.79,23277.247290114654,9212.01,12552.53,13245.58,55426.41,59608.67
DIRECCIÓN ADMINISTRATIVA DE LA SIID,56.0,27286.847499999993,14274.005248167636,9464.53,12570.64,23606.875,41692.47,57692.99
DIRECCIÓN DE DESARROLLO DE MODELOS TECNOLÓGICOS,52.0,26102.060961538453,22565.88479961143,6704.95,7229.5025000000005,11746.13,51947.92,71969.19
RECTORIA,905.0,26054.081922651912,27316.325170061584,5467.78,9764.8,13805.18,23473.39,147051.59
DIRECCIÓN DE FORMACIÓN Y DESARROLLO PROFESIONAL,200.0,23187.062199999993,19533.705468509997,5442.52,11578.835000000001,13330.16,23237.975,83608.04
SECRETARIA DE SUSTENTABILIDAD,1026.0,21817.307339181305,21432.475724293705,2861.23,10517.210000000001,13478.145,18170.2175,125965.13
INST. DE INVESTIGACIONES SOCIALES,1313.0,20865.758842345786,11001.90073098697,5111.94,11944.81,19721.98,25553.05,81232.39
FAC. DE ING. MECANICA Y ELECTRICA,35035.0,20479.725817895865,11402.53051508202,297.42,11146.905,19061.1,28131.8,118943.89
FAC. DE CIENCIAS DE LA TIERRA,2954.0,20269.284715639857,14096.810237490767,1102.41,8632.3725,16247.51,28230.98,85538.87
DIRECCIÓN DE INNOVACIÓN EDUCATIVA,102.0,19551.64490196078,14014.10571922566,1972.5,10647.28,14147.78,25936.0675,72839.72
FAC. DE CIENCIAS BIOLOGICAS,15811.0,18374.859788122038,13441.71243647927,177.2,8550.52,14686.3,24406.775,144501.4
FAC. DE MEDICINA,34295.0,18330.532932789014,11872.347237149856,474.68,9261.54,15221.28,24443.29,129748.17
FAC. DE ECONOMIA,3045.0,18227.388272578035,12521.869187296254,742.43,8676.66,13330.16,25804.56,79018.64
CENTRO DE INCUBACION DE EMPRESAS Y TRANSF. DE TECNOLOGIA,739.0,18207.30456021654,14495.370612580115,1978.74,11492.14,14106.62,17884.059999999998,97124.87
SECRETARIA DE DESARROLLO AGROPECUARIO,295.0,18072.53637288137,21554.152172636135,2867.44,7555.004999999999,10372.98,15906.02,116779.36
ESCUELA PREPARATORIA #15,7945.0,17894.058250471975,9868.018638727763,698.05,10713.88,16165.1,22090.06,72693.55
